agra,achaneraa,magarolgujar,30,agra,achaneraa,mangrolgujar,31,0.92,0.92
aligarh,khayr,bhogpur,1373,aligarh,khor,bhogpur,1272,1.0,1.0
aligarh,khayr,bilakhura,1374,aligarh,khor,bilakhura,1273,1.0,1.0
aligarh,khayr,biraula,1375,aligarh,khor,biraula,1274,1.0,1.0
aligarh,khayr,boconer,1376,aligarh,khor,boconer,1275,1.0,1.0
aligarh,khayr,chaman nagariyaa,1377,aligarh,khor,chaman nangariyaa,1276,0.97,0.97
aligarh,khayr,chiti,1378,aligarh,khor,chiti,1277,1.0,1.0
aligarh,khayr,choudhana,1379,aligarh,khor,choudhana,1278,1.0,1.0
aligarh,khayr,choumuha,1380,aligarh,khor,choumha,1279,0.93,0.93
aligarh,khayr,dhumara,1381,aligarh,khor,dhumara,1280,1.0,1.0
aligarh,khayr,divahamidpur,1382,aligarh,khor,divahamidampur,1281,0.92,0.92
aligarh,khayr,edalpur,1383,aligarh,khor,edalpur,1282,1.0,1.0
aligarh,khayr,gadhi shyoram,1385,aligarh,khor,gaædhee shyoram,1285,0.7171428571428571,0.86
aligarh,khayr,gaudoli,1386,aligarh,khor,gaudoli,1284,1.0,1.0
aligarh,khayr,gomat,1387,aligarh,khor,gomat,1286,1.0,1.0
aligarh,khayr,ismailpur,1388,aligarh,khor,irasmailpur,1287,0.9,0.9
aligarh,khayr,jaraara,1389,aligarh,khor,jaraara,1288,1.0,1.0
aligarh,khayr,kasisau,1390,aligarh,khor,kasisau,1289,1.0,1.0
aligarh,khayr,kheda,1391,aligarh,khor,kheæda,1291,0.91,0.91
aligarh,khayr,khedasattu,1392,aligarh,khor,khedasttu,1290,0.95,0.95
aligarh,khayr,kiratpur,1393,aligarh,khor,kiratpur,1292,1.0,1.0
aligarh,khayr,korh rustampur,1394,aligarh,khor,korh rustampur,1293,1.0,1.0
aligarh,khayr,lakshmanagadhi,1395,aligarh,khor,lakshmanagædhee,1294,0.7610344827586206,0.83
aligarh,khayr,madanpur,1397,aligarh,khor,madanpur,1296,1.0,1.0
aligarh,khayr,madhahabibpur,1398,aligarh,khor,mædhahabibpur,1304,0.92,0.92
aligarh,khayr,magola,1399,aligarh,khor,magola,1297,1.0,1.0
aligarh,khayr,mahagaura,1400,aligarh,khor,mahagaura,1298,1.0,1.0
aligarh,khayr,manpur khurd,1401,aligarh,khor,manpur khurd,1299,1.0,1.0
aligarh,khayr,mathna,1402,aligarh,khor,mathna,1300,1.0,1.0
aligarh,khayr,mau,1403,aligarh,khor,mau,1301,1.0,1.0
aligarh,khayr,mirpur dahauda,1404,aligarh,khor,mirpur dahoda,1303,0.8159259259259259,0.89
aligarh,khayr,nagaula,1406,aligarh,khor,nagaula,1305,1.0,1.0
aligarh,khayr,naharaula,1407,aligarh,khor,naharaula,1306,1.0,1.0
aligarh,khayr,namela,1408,aligarh,khor,nayela,1310,0,0.83
aligarh,khayr,nandpurpalaan,1409,aligarh,khor,nandpurpalaan,1307,1.0,1.0
aligarh,khayr,narainpur,1410,aligarh,khor,narainpur,1308,1.0,1.0
aligarh,khayr,nayal,1411,aligarh,khor,nayal,1309,1.0,1.0
aligarh,khayr,palaa salalu,1412,aligarh,khor,palaa sallu,1311,0.96,0.96
aligarh,khayr,palaod,1413,aligarh,khor,palaod,1312,1.0,1.0
aligarh,khayr,pipalgaam,1414,aligarh,khor,pipalgaam,1313,1.0,1.0
aligarh,khayr,raajpur,1415,aligarh,khor,raajpur,1314,1.0,1.0
aligarh,khayr,rasulpur,1416,aligarh,khor,rasulpur,1315,1.0,1.0
aligarh,khayr,resri,1417,aligarh,khor,resri,1316,1.0,1.0
aligarh,khayr,rit,1418,aligarh,khor,rit,1317,1.0,1.0
aligarh,khayr,sabhapur,1419,aligarh,khor,sabhapur,1318,1.0,1.0
aligarh,khayr,sahroi,1420,aligarh,khor,sahroi,1319,1.0,1.0
aligarh,khayr,sajnaa,1421,aligarh,khor,sajnaa,1320,1.0,1.0
aligarh,khayr,shivala,1423,aligarh,khor,shivala,1321,1.0,1.0
aligarh,khayr,sopha,1424,aligarh,khor,sopha,1322,1.0,1.0
aligarh,khayr,sujanpur,1425,aligarh,khor,sujanpur,1323,1.0,1.0
aligarh,khayr,sujapur,1426,aligarh,khor,sujapur,1324,1.0,1.0
aligarh,khayr,usaram,1429,aligarh,khor,usaram,1326,1.0,1.0
aligarh,khayr,utwaaraa,1430,aligarh,khor,utwaaraa,1327,1.0,1.0
aligarh,khayr,viharipur,1431,aligarh,khor,viharipur,1328,1.0,1.0
aligarh,khayr,virampur,1432,aligarh,khor,virampur,1329,1.0,1.0
ambedkar nagar,akbarpur,baraura,1617,ambedkar nagar,miyaanw,barauna,2026,0,0.86
ambedkar nagar,akbarpur,mahamudpur,1674,ambedkar nagar,miyaanw,mahamudpur,2057,1.0,1.0
ambedkar nagar,basakhaari,malikpur,1771,ambedkar nagar,tanda,malikpur,2244,1.0,1.0
ambedkar nagar,bhiti,mahamudpur,1853,ambedkar nagar,miyaanw,mahamudpur,2057,1.0,1.0
ambedkar nagar,bhiyaanv,ahiroli,1898,ambedkar nagar,miyaanw,ahiroli,2020,1.0,1.0
ambedkar nagar,bhiyaanv,ajamalpur,1899,ambedkar nagar,miyaanw,ajamalpur,2021,1.0,1.0
ambedkar nagar,bhiyaanv,ambarpur,1901,ambedkar nagar,miyaanw,ammarpur,2023,0,0.88
ambedkar nagar,bhiyaanv,ashapar,1902,ambedkar nagar,miyaanw,ashapar,2024,1.0,1.0
ambedkar nagar,bhiyaanv,bandipur,1904,ambedkar nagar,miyaanw,bandipur,2025,1.0,1.0
ambedkar nagar,bhiyaanv,barauna,1905,ambedkar nagar,miyaanw,barauna,2026,1.0,1.0
ambedkar nagar,bhiyaanv,bheekhpur khurd,1909,ambedkar nagar,miyaanw,bheekhpur khurd,2027,1.0,1.0
ambedkar nagar,bhiyaanv,bhitaura dakshin,1910,ambedkar nagar,miyaanw,bhitaouradakshin,2028,0.94,0.94
ambedkar nagar,bhiyaanv,bhujaagi,1912,ambedkar nagar,miyaanw,bhujaagi,2029,1.0,1.0
ambedkar nagar,bhiyaanv,bodara,1914,ambedkar nagar,miyaanw,bodara,2030,1.0,1.0
ambedkar nagar,bhiyaanv,chakiya,1915,ambedkar nagar,miyaanw,chakiya,2031,1.0,1.0
ambedkar nagar,bhiyaanv,chakura,1916,ambedkar nagar,miyaanw,chakura,2032,1.0,1.0
ambedkar nagar,bhiyaanv,chaudaaprash,1918,ambedkar nagar,miyaanw,chaudaa praash,2033,0.92,0.92
ambedkar nagar,bhiyaanv,daulatabad,1919,ambedkar nagar,miyaanw,daulatabad,2035,1.0,1.0
ambedkar nagar,bhiyaanv,dhakha,1920,ambedkar nagar,miyaanw,dhakha,2036,1.0,1.0
ambedkar nagar,bhiyaanv,dinakarpur,1921,ambedkar nagar,miyaanw,dinakarpur,2037,1.0,1.0
ambedkar nagar,bhiyaanv,dulhoopurkala,1922,ambedkar nagar,miyaanw,dulhoopur kala,2038,0.96,0.96
ambedkar nagar,bhiyaanv,fatepur manikpur,1924,ambedkar nagar,miyaanw,fatepur manikpur,2039,1.0,1.0
ambedkar nagar,bhiyaanv,garopur,1925,ambedkar nagar,miyaanw,garopur,2040,1.0,1.0
ambedkar nagar,bhiyaanv,gauribadah,1927,ambedkar nagar,miyaanw,gauribadah,2041,1.0,1.0
ambedkar nagar,bhiyaanv,gopri chandpur,1928,ambedkar nagar,miyaanw,goparichandpur,2042,0.93,0.93
ambedkar nagar,bhiyaanv,govindpur,1929,ambedkar nagar,miyaanw,govindpur,2043,1.0,1.0
ambedkar nagar,bhiyaanv,hafizpur,1930,ambedkar nagar,miyaanw,hafizpur,2044,1.0,1.0
ambedkar nagar,bhiyaanv,jagadishpur kapileshwar,1931,ambedkar nagar,miyaanw,jagadishpurkapileshwar,2045,0.98,0.98
ambedkar nagar,bhiyaanv,jameen surajoopur,1933,ambedkar nagar,miyaanw,jameensurajoopur,2046,0.97,0.97
ambedkar nagar,bhiyaanv,jolhapur,1934,ambedkar nagar,miyaanw,jolhapur,2047,1.0,1.0
ambedkar nagar,bhiyaanv,karimnagar,1935,ambedkar nagar,miyaanw,karimnagar,2049,1.0,1.0
ambedkar nagar,bhiyaanv,khanpur husainabad,1936,ambedkar nagar,miyaanw,khanpur husainabad,2050,1.0,1.0
ambedkar nagar,bhiyaanv,kishnupur kavirahaan,1937,ambedkar nagar,miyaanw,kishnupur kavirahaa,2051,0.97,0.97
ambedkar nagar,bhiyaanv,kishundaspur,1938,ambedkar nagar,miyaanw,kishundaspur,2052,1.0,1.0
ambedkar nagar,bhiyaanv,lakhmipur,1939,ambedkar nagar,miyaanw,lakhmipur,2053,1.0,1.0
ambedkar nagar,bhiyaanv,laviya,1940,ambedkar nagar,miyaanw,laviya,2054,1.0,1.0
ambedkar nagar,bhiyaanv,madhavpur,1941,ambedkar nagar,miyaanw,madhavpur,2055,1.0,1.0
ambedkar nagar,bhiyaanv,madhwarpur,1942,ambedkar nagar,miyaanw,madhavpur,2055,0.7347368421052631,0.84
ambedkar nagar,bhiyaanv,mahamadpur odarpur,1943,ambedkar nagar,miyaanw,mahamadpur odarpur,2056,1.0,1.0
ambedkar nagar,bhiyaanv,mahamudpur,1944,ambedkar nagar,miyaanw,mahamudpur,2057,1.0,1.0
ambedkar nagar,bhiyaanv,mahuval,1945,ambedkar nagar,miyaanw,mahuval,2058,1.0,1.0
ambedkar nagar,bhiyaanv,majagavaan,1946,ambedkar nagar,miyaanw,majagavaan,2059,1.0,1.0
ambedkar nagar,bhiyaanv,makhdumpur,1947,ambedkar nagar,miyaanw,makhdumpur,2060,1.0,1.0
ambedkar nagar,bhiyaanv,mandahaan,1948,ambedkar nagar,miyaanw,mandaha,2061,0.63,0.88
ambedkar nagar,bhiyaanv,marahara,1949,ambedkar nagar,miyaanw,marahara,2062,1.0,1.0
ambedkar nagar,bhiyaanv,masodha,1950,ambedkar nagar,miyaanw,masodha,2063,1.0,1.0
ambedkar nagar,bhiyaanv,mathia,1951,ambedkar nagar,miyaanw,mathia,2064,1.0,1.0
ambedkar nagar,bhiyaanv,mathura rasulpur,1952,ambedkar nagar,miyaanw,mathurarsulpur,2065,0.93,0.93
ambedkar nagar,bhiyaanv,mirzapur,1953,ambedkar nagar,miyaanw,mirzapur,2067,1.0,1.0
ambedkar nagar,bhiyaanv,mundehra,1954,ambedkar nagar,miyaanw,mundehra,2068,1.0,1.0
ambedkar nagar,bhiyaanv,nevadakala,1956,ambedkar nagar,miyaanw,nevada kala,2070,0.95,0.95
ambedkar nagar,bhiyaanv,nimatini,1957,ambedkar nagar,miyaanw,nimatini,2071,1.0,1.0
ambedkar nagar,bhiyaanv,nonhar,1958,ambedkar nagar,miyaanw,nonhar,2072,1.0,1.0
ambedkar nagar,bhiyaanv,nurpurkala,1959,ambedkar nagar,miyaanw,nurpurkalan,2073,0.95,0.95
ambedkar nagar,bhiyaanv,pakkhanpur,1962,ambedkar nagar,miyaanw,pakkhanpur,2074,1.0,1.0
ambedkar nagar,bhiyaanv,parvatpur,1963,ambedkar nagar,miyaanw,parvatpur,2076,1.0,1.0
ambedkar nagar,bhiyaanv,phulwari,1964,ambedkar nagar,miyaanw,phulwari,2078,1.0,1.0
ambedkar nagar,bhiyaanv,pindoriya,1965,ambedkar nagar,miyaanw,pindoriya,2079,1.0,1.0
ambedkar nagar,bhiyaanv,pooraavadalhi,1966,ambedkar nagar,miyaanw,pooraavadalhi,2080,1.0,1.0
ambedkar nagar,bhiyaanv,pratappurkala,1967,ambedkar nagar,miyaanw,pratappur kalam,2081,0.93,0.93
ambedkar nagar,bhiyaanv,rajapur,1968,ambedkar nagar,miyaanw,rajapur,2082,1.0,1.0
ambedkar nagar,bhiyaanv,ramgarh,1969,ambedkar nagar,miyaanw,ramgarh,2083,1.0,1.0
ambedkar nagar,bhiyaanv,randuli,1970,ambedkar nagar,miyaanw,randuli,2084,1.0,1.0
ambedkar nagar,bhiyaanv,ratana,1971,ambedkar nagar,miyaanw,ratana,2085,1.0,1.0
ambedkar nagar,bhiyaanv,sabargah,1972,ambedkar nagar,miyaanw,sabargah,2086,1.0,1.0
ambedkar nagar,bhiyaanv,sakara dakshin,1973,ambedkar nagar,miyaanw,sakara dakshin,2087,1.0,1.0
ambedkar nagar,bhiyaanv,sehari,1974,ambedkar nagar,miyaanw,sehari,2088,1.0,1.0
ambedkar nagar,bhiyaanv,semra,1975,ambedkar nagar,miyaanw,semra,2089,1.0,1.0
ambedkar nagar,bhiyaanv,shahpur,1976,ambedkar nagar,miyaanw,shahpur,2090,1.0,1.0
ambedkar nagar,bhiyaanv,shekhpur paliwari,1977,ambedkar nagar,miyaanw,shekhpur tiwari,2091,0.755,0.88
ambedkar nagar,bhiyaanv,shivpal,1978,ambedkar nagar,miyaanw,shivpal,2092,1.0,1.0
ambedkar nagar,bhiyaanv,vallipur,1980,ambedkar nagar,miyaanw,vallipur,2093,1.0,1.0
ambedkar nagar,jalalpur,mirapur,2165,ambedkar nagar,miyaanw,mirzapur,2067,0.93,0.93
amethi,amethi,agar,2528,chhatrapati shahuji maharajanagar,amethi,agar,13972,1.0,1.0
amethi,amethi,bahapur,2529,chhatrapati shahuji maharajanagar,gauri ganj,bahapur,14247,1.0,1.0
amethi,amethi,bariyapur,2530,baliya,dohrighat,bariyarpur,6660,0.95,0.95
amethi,amethi,benipur,2531,chhatrapati shahuji maharajanagar,amethi,benipur,13973,1.0,1.0
amethi,amethi,bhaganpur,2532,chhatrapati shahuji maharajanagar,amethi,bhaganpur,13974,1.0,1.0
amethi,amethi,bhusahari,2533,chhatrapati shahuji maharajanagar,amethi,bhusahari,13975,1.0,1.0
amethi,amethi,chaturbhujpur,2534,chhatrapati shahuji maharajanagar,amethi,chaturbhujpur,13976,1.0,1.0
amethi,amethi,dandoopur,2535,chhatrapati shahuji maharajanagar,singhpur,dandoopur,14611,1.0,1.0
amethi,amethi,darkha,2536,chhatrapati shahuji maharajanagar,amethi,darkha,13977,1.0,1.0
amethi,amethi,debpasaar,2537,chhatrapati shahuji maharajanagar,amethi,debpasaar,13978,1.0,1.0
amethi,amethi,dehra,2538,chhatrapati shahuji maharajanagar,amethi,dehra,13979,1.0,1.0
amethi,amethi,gaderi,2539,chhatrapati shahuji maharajanagar,amethi,gaderi,13980,1.0,1.0
amethi,amethi,gangauli,2540,chhatrapati shahuji maharajanagar,amethi,gangauli,13981,1.0,1.0
amethi,amethi,ghaghughaar,2541,chhatrapati shahuji maharajanagar,amethi,ghaghughaar,13982,1.0,1.0
amethi,amethi,hathkila,2542,chhatrapati shahuji maharajanagar,amethi,hathkila,13983,1.0,1.0
amethi,amethi,himmatgarh,2543,ghaziabad,dhaulana,himmatnagar,21872,0.7647619047619048,0.86
amethi,amethi,jangalramnagar,2544,chhatrapati shahuji maharajanagar,amethi,jangalramnagar,13985,1.0,1.0
amethi,amethi,kakwa,2545,chhatrapati shahuji maharajanagar,amethi,kakwa,13986,1.0,1.0
amethi,amethi,katramahraani,2546,chhatrapati shahuji maharajanagar,amethi,katramahraani,13987,1.0,1.0
amethi,amethi,katraphulkunwar,2547,chhatrapati shahuji maharajanagar,amethi,katraphulkuvanr,13988,0,0.87
amethi,amethi,kherona,2548,chhatrapati shahuji maharajanagar,amethi,kherona,13989,1.0,1.0
amethi,amethi,koharaa,2549,chhatrapati shahuji maharajanagar,amethi,koharaa,13990,1.0,1.0
amethi,amethi,korarigiradharshah,2550,chhatrapati shahuji maharajanagar,amethi,korarigiradharshah,13991,1.0,1.0
amethi,amethi,kushitali,2551,chhatrapati shahuji maharajanagar,amethi,kushitali,13992,1.0,1.0
amethi,amethi,loharta,2552,chhatrapati shahuji maharajanagar,amethi,loharta,13993,1.0,1.0
amethi,amethi,loniapur,2553,chhatrapati shahuji maharajanagar,amethi,loniapur,13994,1.0,1.0
amethi,amethi,mahamadpur,2554,chhatrapati shahuji maharajanagar,amethi,mahamadpur,13995,1.0,1.0
amethi,amethi,mahamudpur,2555,ambedkar nagar,miyaanw,mahamudpur,2057,1.0,1.0
amethi,amethi,mahaso,2556,chhatrapati shahuji maharajanagar,amethi,mahaso,13997,1.0,1.0
amethi,amethi,mahraajpur,2557,baliya,dohrighat,mahraajpur,6691,1.0,1.0
amethi,amethi,mochava,2558,chhatrapati shahuji maharajanagar,amethi,mochava,13999,1.0,1.0
amethi,amethi,nainhavartalee,2559,chhatrapati shahuji maharajanagar,amethi,naunhavartalee,14001,0.93,0.93
amethi,amethi,naraini,2560,chhatrapati shahuji maharajanagar,amethi,naraini,14000,1.0,1.0
amethi,amethi,nuvaavan,2561,chhatrapati shahuji maharajanagar,amethi,nuvava,14002,0.5742857142857143,0.86
amethi,amethi,parasaavaan,2562,faizabad,milkipur,parasavaan,18396,0.95,0.95
amethi,amethi,purbgaanv,2563,chhatrapati shahuji maharajanagar,amethi,purabgaanv,14004,0.95,0.95
amethi,amethi,raipur phulwari,2564,chhatrapati shahuji maharajanagar,amethi,raipur phulwari,14006,1.0,1.0
amethi,amethi,ramdipur,2566,chhatrapati shahuji maharajanagar,amethi,ramdipur,14007,1.0,1.0
amethi,amethi,ramgarh,2567,ambedkar nagar,miyaanw,ramgarh,2083,1.0,1.0
amethi,amethi,rebha,2569,chhatrapati shahuji maharajanagar,amethi,rebha,14009,1.0,1.0
amethi,amethi,saidpur,2570,jyotibaphule nagar,amroha,shahidpur,29333,0.63,0.88
amethi,amethi,saraikhema,2571,chhatrapati shahuji maharajanagar,amethi,saraikhema,14010,1.0,1.0
amethi,amethi,saraiyaduban,2572,chhatrapati shahuji maharajanagar,amethi,saraiyaduban,14011,1.0,1.0
amethi,amethi,sarvanpur,2573,baliya,dohrighat,saarangpur,6706,0.7347368421052631,0.84
amethi,amethi,taala,2574,chhatrapati shahuji maharajanagar,amethi,taala,14013,1.0,1.0
amethi,amethi,trilokpur,2575,chhatrapati shahuji maharajanagar,bhadar,trilokpur,14134,1.0,1.0
amethi,amethi,umapurganapattee,2576,chhatrapati shahuji maharajanagar,amethi,umapurganapattee,14015,1.0,1.0
amethi,bahadurpur,baghel,2578,chhatrapati shahuji maharajanagar,bahadurpur,baghel,14016,1.0,1.0
amethi,bahadurpur,bahadurpur,2579,baliya,gaædawaar,bahadurpur,6804,1.0,1.0
amethi,bahadurpur,basauni,2580,gajipur,bhavarankol,masauni,20654,0,0.86
amethi,bahadurpur,behata murtaja,2581,chhatrapati shahuji maharajanagar,bahadurpur,behata murtaja,14018,1.0,1.0
amethi,bahadurpur,bhadaiya mahamudpur,2582,chhatrapati shahuji maharajanagar,bahadurpur,bhadainya mahamudpur,14019,0.97,0.97
amethi,bahadurpur,bojhi bhuulaamau,2583,chhatrapati shahuji maharajanagar,bahadurpur,bojhi bhuulaamau,14020,1.0,1.0
amethi,bahadurpur,faridpur paravar,2585,chhatrapati shahuji maharajanagar,bahadurpur,faridpur paravar,14022,1.0,1.0
amethi,bahadurpur,fatehpur mawauya,2586,chhatrapati shahuji maharajanagar,bahadurpur,fatehpur mavaiya,14023,0,0.88
amethi,bahadurpur,jamalpur rampur,2587,chhatrapati shahuji maharajanagar,bahadurpur,jamalpur rampur,14024,1.0,1.0
amethi,bahadurpur,kasimpur,2588,aligarh,gangori,kasimpur,1018,1.0,1.0
amethi,bahadurpur,kesaria salimpur,2589,chhatrapati shahuji maharajanagar,bahadurpur,ke saria salimpur,14026,0.97,0.97
amethi,bahadurpur,khalispur,2590,chhatrapati shahuji maharajanagar,bahadurpur,khalispur,14027,1.0,1.0
amethi,bahadurpur,kharoli,2591,baliya,dohrighat,kharoni,6681,0,0.86
amethi,bahadurpur,kherahana,2592,chhatrapati shahuji maharajanagar,bahadurpur,khorahana,14029,0,0.89
amethi,bahadurpur,kisunpur kewai,2593,chhatrapati shahuji maharajanagar,bahadurpur,kishunpur kewai,14030,0.97,0.97
